╔══════════════════════════════════════════════════════════════════════════════╗
║                         Unit Diff Report (813×1626)                          ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ aztec_ec                       │ zpl  │    6.82% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ aztec_ec_1_ec23                │ zpl  │    0.36% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ aztec_ec_2_ec45                │ zpl  │    0.53% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ aztec_ec_3_ec70                │ zpl  │    0.87% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ aztec_ec_4_ec95                │ zpl  │    5.06% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ barcode128_default_width       │ zpl  │    0.54% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line                │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line_above          │ zpl  │    0.27% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_a              │ zpl  │    0.54% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_d              │ zpl  │    0.54% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n              │ zpl  │    0.54% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n_cba_sets     │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_u              │ zpl  │    0.54% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_rotated             │ zpl  │    0.24% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ cf_font_designator             │ zpl  │    0.13% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ cf_font_no_orientation         │ zpl  │    0.18% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ code128_mode_d_fnc1            │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ cp850_hex_chars                │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ dhlparceluk_dhl_text           │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ dhlparceluk_ver                │ zpl  │    0.05% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ ean13                          │ zpl  │    2.76% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ edi_triangle                   │ zpl  │    0.03% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ encodings_013                  │ zpl  │    1.56% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
